s.id,s
1,"{degeneracy: 2, Fef: ""F3e"", v: 0, el_state: ""X"", tau: 1000, J: 0, id: 1, N: 1, energy: 30.3251}"
2,"{degeneracy: 2, Fef: ""F3e"", v: 1, el_state: ""X"", tau: 0.003611020835590221, J: 0, id: 2, N: 1, energy: 2985.2324}"
6,"{degeneracy: 2, Fef: ""F3e"", v: 0, el_state: ""A"", tau: 0.0000028035183959044786, J: 0, id: 6, N: 1, energy: 28039.80477}"
7,"{degeneracy: 2, Fef: ""F3f"", v: 0, el_state: ""A"", tau: 0.0000028007634990774732, J: 0, id: 7, N: 1, energy: 28049.05116}"
10,"{degeneracy: 6, Fef: ""F1e"", v: 0, el_state: ""X"", tau: 1000, J: 1, id: 10, N: 0, energy: 0.0}"
11,"{degeneracy: 6, Fef: ""F2f"", v: 0, el_state: ""X"", tau: 1000, J: 1, id: 11, N: 1, energy: 34.4599}"
12,"{degeneracy: 6, Fef: ""F3e"", v: 0, el_state: ""X"", tau: 1000, J: 1, id: 12, N: 2, energy: 97.5767}"
13,"{degeneracy: 6, Fef: ""F1e"", v: 1, el_state: ""X"", tau: 0.0036054497237882994, J: 1, id: 13, N: 0, energy: 2956.356996}"
14,"{degeneracy: 6, Fef: ""F2f"", v: 1, el_state: ""X"", tau: 0.003614466540883231, J: 1, id: 14, N: 1, energy: 2989.351896}"
15,"{degeneracy: 6, Fef: ""F3e"", v: 1, el_state: ""X"", tau: 0.003626598196492717, J: 1, id: 15, N: 2, energy: 3049.5652}"
16,"{degeneracy: 6, Fef: ""F1e"", v: 2, el_state: ""X"", tau: 0.0019427764585515054, J: 1, id: 16, N: 0, energy: 5755.685714}"
17,"{degeneracy: 6, Fef: ""F2f"", v: 2, el_state: ""X"", tau: 0.0019477898817769452, J: 1, id: 17, N: 1, energy: 5787.256617}"
18,"{degeneracy: 6, Fef: ""F3e"", v: 2, el_state: ""X"", tau: 0.0019544265641124325, J: 1, id: 18, N: 2, energy: 5844.653114}"
19,"{degeneracy: 6, Fef: ""F1e"", v: 3, el_state: ""X"", tau: 0.0013988154705820769, J: 1, id: 19, N: 0, energy: 8404.158793}"
20,"{degeneracy: 6, Fef: ""F2f"", v: 3, el_state: ""X"", tau: 0.0014024511171105165, J: 1, id: 20, N: 1, energy: 8434.347592}"
21,"{degeneracy: 6, Fef: ""F3e"", v: 3, el_state: ""X"", tau: 0.0014073790332595681, J: 1, id: 21, N: 2, energy: 8489.014318}"
22,"{degeneracy: 6, Fef: ""F1e"", v: 4, el_state: ""X"", tau: 0.0011351954925443181, J: 1, id: 22, N: 0, energy: 10907.935321}"
23,"{degeneracy: 6, Fef: ""F2f"", v: 4, el_state: ""X"", tau: 0.0011381765394763033, J: 1, id: 23, N: 1, energy: 10936.783821}"
24,"{degeneracy: 6, Fef: ""F3e"", v: 4, el_state: ""X"", tau: 0.0011422877387898846, J: 1, id: 24, N: 2, energy: 10988.810025}"
28,"{degeneracy: 6, Fef: ""F3f"", v: 0, el_state: ""A"", tau: 0.0000028111611546020157, J: 1, id: 28, N: 2, energy: 28083.40394}"
33,"{degeneracy: 10, Fef: ""F1e"", v: 0, el_state: ""X"", tau: 1000, J: 2, id: 33, N: 1, energy: 32.4162}"
34,"{degeneracy: 10, Fef: ""F2f"", v: 0, el_state: ""X"", tau: 1000, J: 2, id: 34, N: 2, energy: 100.0899}"
35,"{degeneracy: 10, Fef: ""F3e"", v: 0, el_state: ""X"", tau: 1000, J: 2, id: 35, N: 3, energy: 196.3281}"
36,"{degeneracy: 10, Fef: ""F1e"", v: 1, el_state: ""X"", tau: 0.0036103532781010944, J: 2, id: 36, N: 1, energy: 2987.324606}"
37,"{degeneracy: 10, Fef: ""F2f"", v: 1, el_state: ""X"", tau: 0.003627328291347008, J: 2, id: 37, N: 2, energy: 3052.072806}"
38,"{degeneracy: 10, Fef: ""F3e"", v: 1, el_state: ""X"", tau: 0.003647270719874606, J: 2, id: 38, N: 3, energy: 3143.949397}"
39,"{degeneracy: 10, Fef: ""F1e"", v: 2, el_state: ""X"", tau: 0.0019456441059550408, J: 2, id: 39, N: 1, energy: 5785.247017}"
40,"{degeneracy: 10, Fef: ""F2f"", v: 2, el_state: ""X"", tau: 0.0019549038861729844, J: 2, id: 40, N: 2, energy: 5847.152613}"
41,"{degeneracy: 10, Fef: ""F3e"", v: 2, el_state: ""X"", tau: 0.0019659196470106976, J: 2, id: 41, N: 3, energy: 5934.796114}"
43,"{degeneracy: 10, Fef: ""F2f"", v: 3, el_state: ""X"", tau: 0.0014077668111085156, J: 2, id: 43, N: 2, energy: 8491.503716}"
44,"{degeneracy: 10, Fef: ""F3e"", v: 3, el_state: ""X"", tau: 0.0014158403663478566, J: 2, id: 44, N: 3, energy: 8575.043814}"
46,"{degeneracy: 10, Fef: ""F2f"", v: 4, el_state: ""X"", tau: 0.0011426225604866933, J: 2, id: 46, N: 2, energy: 10991.286494}"
50,"{degeneracy: 10, Fef: ""F2e"", v: 0, el_state: ""A"", tau: 0.0000028436202316646934, J: 2, id: 50, N: 2, energy: 28031.110552}"
52,"{degeneracy: 10, Fef: ""F3e"", v: 0, el_state: ""A"", tau: 0.0000028333829001054743, J: 2, id: 52, N: 3, energy: 28142.53372}"
60,"{degeneracy: 14, Fef: ""F1e"", v: 0, el_state: ""X"", tau: 1000, J: 3, id: 60, N: 2, energy: 97.7803}"
61,"{degeneracy: 14, Fef: ""F2f"", v: 0, el_state: ""X"", tau: 1000, J: 3, id: 61, N: 3, energy: 198.4197}"
62,"{degeneracy: 14, Fef: ""F3e"", v: 0, el_state: ""X"", tau: 1000, J: 3, id: 62, N: 4, energy: 327.4853}"
63,"{degeneracy: 14, Fef: ""F1e"", v: 1, el_state: ""X"", tau: 0.0036220507537761087, J: 3, id: 63, N: 2, energy: 3049.785197}"
64,"{degeneracy: 14, Fef: ""F2f"", v: 1, el_state: ""X"", tau: 0.0036467854862313786, J: 3, id: 64, N: 3, energy: 3146.042097}"
